Name,Type,Start_date,End_date,Ref,Comment
Ainsty Internal Drainage Board,Internal Drainage Board,,,IDB01,
Airedale Drainage Commissioners,Internal Drainage Board,,,IDB02,
Alconbury and Ellington Internal Drainage Board,Internal Drainage Board,,,IDB03,
Ancholme Internal Drainage Board,Internal Drainage Board,,,IDB04,
Axe Brue Internal Drainage Board,Internal Drainage Board,,,IDB05,
Isle of Axholme and North Nottinghamshire Water Level Management Board,Internal Drainage Board,,,IDB06,
Bedfordshire and River Ivel Internal Drainage Board,Internal Drainage Board,,,IDB07,
Benwick Internal Drainage Board,Internal Drainage Board,,,IDB08,
Beverley and North Holderness Internal Drainage Board,Internal Drainage Board,,,IDB09,
Black Drain Internal Drainage Board,Internal Drainage Board,,,IDB10,
Black Sluice Internal Drainage Board,Internal Drainage Board,,,IDB11,
Bluntisham Internal Drainage Board,Internal Drainage Board,,,IDB12,
Braunton Marsh Internal Drainage Board ,Internal Drainage Board,,,IDB13,
Broads Internal Drainage Board,Internal Drainage Board,,,IDB14,
Buckingham and River Ouzel Internal Drainage Board,Internal Drainage Board,,,IDB15,
Burnt Fen Internal Drainage Board,Internal Drainage Board,,,IDB16,
Cawdle Fen Internal Drainage Board,Internal Drainage Board,,,IDB17,
Churchfield and Plawfield Internal Drainage Board,Internal Drainage Board,,,IDB18,
Conington and Holme Internal Drainage Board,Internal Drainage Board,,,IDB19,
Cowick and Snaith Internal Drainage Board,Internal Drainage Board,,,IDB20,
Curf and Wimblington Combined Internal Drainage Board,Internal Drainage Board,,,IDB21,
Danvm Drainage Commissioners,Internal Drainage Board,,,IDB22,
Dempster Internal Drainage Board,Internal Drainage Board,,,IDB23,
Doncaster East Internal Drainage Board,Internal Drainage Board,,,IDB24,
Downham and Stow Bardolph Internal Drainage Board,Internal Drainage Board,,,IDB25,
Earby and Salterforth Internal Drainage Board,Internal Drainage Board,,,IDB26,
East Harling Internal Drainage Board ,Internal Drainage Board,,,IDB27,
East of Ouse Polver and Nar Internal Drainage Board,Internal Drainage Board,,,IDB28,
East Suffolk Internal Drainage Board,Internal Drainage Board,,,IDB29,
